time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-15T03:10:56.000Z,53.4469,-163.4264,33.5,3.1,ml,,,,0.47,ak,ak11625998,2015-06-18T16:44:13.529Z,"156km S of False Pass, Alaska",earthquake
2015-06-15T00:31:10.220Z,2.519,124.0717,336.34,4.7,mb,,61,3.573,0.83,us,us20002ptz,2015-06-15T08:33:44.352Z,"142km NW of Manado, Indonesia",earthquake
2015-06-14T23:51:14.530Z,35.1561,69.9996,124.72,4.1,mb,,114,0.997,0.93,us,us20002ptg,2015-06-15T07:53:51.078Z,"46km NE of Tagab, Afghanistan",earthquake
2015-06-14T22:22:20.280Z,27.2965,140.1124,371.76,4.8,mb,,55,1.856,0.89,us,us20002pss,2015-06-15T06:25:03.413Z,"209km W of Chichi-shima, Japan",earthquake
2015-06-14T21:54:15.210Z,-11.397,163.2131,43.98,4.7,mb,,83,3.755,0.85,us,us20002psn,2015-06-15T05:56:55.622Z,"175km SE of Kirakira, Solomon Islands",earthquake
2015-06-14T19:58:50.810Z,2.5506,128.4364,233.72,4.6,mb,,162,2.065,0.64,us,us20002pse,2015-06-15T04:01:32.858Z,"102km NNE of Tobelo, Indonesia",earthquake
2015-06-14T19:10:43.800Z,36.2859,-97.5324,5,3.6,mb_lg,,61,0.424,0.35,us,us20002prz,2015-06-15T14:30:58.593Z,"21km W of Perry, Oklahoma",earthquake
2015-06-14T18:34:52.280Z,35.7216667,-117.599,9.66,3.63,ml,42,42,0.09388,0.16,ci,ci37400032,2015-06-18T07:38:27.866Z,"13km NNE of Ridgecrest, California",earthquake
2015-06-14T18:17:08.980Z,36.2871,-97.5233,5,4,mwr,,61,0.43,0.29,us,us20002prt,2015-06-14T22:37:38.825Z,"21km W of Perry, Oklahoma",earthquake
2015-06-14T13:12:22.320Z,36.5227,70.2426,203.94,4.1,mb,,126,0.658,0.92,us,us20002pr0,2015-06-14T21:14:55.538Z,"34km E of Farkhar, Afghanistan",earthquake
2015-06-14T13:11:54.850Z,36.2753333,-89.455,7.68,2.68,md,36,41,0.02317,0.19,nm,nm60079752,2015-06-15T17:03:45.050Z,"4km NE of Ridgely, Tennessee",earthquake
2015-06-14T10:53:51.710Z,3.7202,127.3847,51.61,4.5,mb,,143,2.928,0.68,us,us20002pqv,2015-06-14T18:56:59.924Z,"230km NNW of Tobelo, Indonesia",earthquake
2015-06-14T10:37:48.110Z,36.3079,-96.6801,9.98,2.6,mb_lg,,49,0.138,0.47,us,us20002pqs,2015-06-14T18:40:29.354Z,"11km ESE of Pawnee, Oklahoma",earthquake
2015-06-14T10:21:09.910Z,38.8411667,-122.8256667,2.58,2.64,md,76,30,0.00809,0.05,nc,nc72466021,2015-06-16T01:08:05.255Z,"9km WNW of Cobb, California",earthquake
2015-06-14T10:17:01.160Z,-7.7013,117.1425,301.36,4.3,mb,,74,3.058,0.92,us,us20002pqr,2015-06-14T18:19:37.110Z,"78km N of Utan, Indonesia",earthquake
2015-06-14T09:51:28.090Z,-11.2631,162.9456,77.47,4.5,mb,,156,3.462,0.66,us,us20002pqk,2015-06-14T17:54:09.317Z,"143km SE of Kirakira, Solomon Islands",earthquake
2015-06-14T09:49:18.200Z,18.0615,-68.374,103,3.5,Md,13,266.4,0.44915764,0.23,pr,pr15165006,2015-06-14T17:51:52.654Z,"42km SE of Boca de Yuma, Dominican Republic",earthquake
2015-06-14T09:02:28.000Z,18.1937,-67.274,27,2.6,Md,12,180,0.12845909,0.3,pr,pr15165005,2015-06-14T17:05:14.440Z,"13km SW of La Playa, Puerto Rico",earthquake
